VAR,col
ERR_CD_BNI,202
ERR_CD_BNR,203
ERR_CD_C08,204
ERR_CD_C09,205
ERR_CD_C10,206
ERR_CD_C11,207
ERR_CD_C15,208
ERR_CD_C17,209
ERR_CD_C18,210
ERR_CD_C20,211
ERR_CD_C22,212
ERR_CD_C23,213
ERR_CD_C24,214
ERR_CD_C26,215
ERR_CD_C34,216
ERR_CD_C35,217
ERR_CD_C37,218
ERR_CD_C38,219
ERR_CD_C39,220
ERR_CD_C40,221
ERR_CD_C41,222
ERR_CD_C43,223
ERR_CD_C44,224
ERR_CD_C45,225
ERR_CD_C46,226
ERR_CD_C47,227
ERR_CD_C49,228
ERR_CD_C50,229
ERR_CD_C54,230
ERR_CD_C68,231
ERR_CD_C72,232
ERR_CD_CAP,233
ERR_CD_CBC,234
ERR_CD_CCD,235
ERR_CD_CLM,236
ERR_CD_CN,237
ERR_CD_COE,238
ERR_CD_CPH,239
ERR_CD_CPP,240
ERR_CD_CQ,241
ERR_CD_CT,242
ERR_CD_CXE,243
ERR_CD_CXG,244
ERR_CD_CXL,245
ERR_CD_CXP,246
ERR_CD_CXT,247
ERR_CD_CXW,248
ERR_CD_CZ,249
ERR_CD_D1,250
ERR_CD_D5,251
ERR_CD_DAT,252
ERR_CD_DC,253
ERR_CD_DF,254
ERR_CD_DI,255
ERR_CD_DIS,256
ERR_CD_DMM,257
ERR_CD_DND,258
ERR_CD_DNR,259
ERR_CD_DO,260
ERR_CD_DP,261
ERR_CD_DP1,262
ERR_CD_DP2,263
ERR_CD_DPT,264
ERR_CD_DRK,265
ERR_CD_DRN,266
ERR_CD_E7,267
ERR_CD_ECM,268
ERR_CD_ED1,269
ERR_CD_EI,270
ERR_CD_EMO,271
ERR_CD_EN1,272
ERR_CD_ER1,273
ERR_CD_ERC,274
ERR_CD_ERM,275
ERR_CD_ERS,276
ERR_CD_ESB,277
ERR_CD_ESM,278
ERR_CD_ESR,279
ERR_CD_EST,280
ERR_CD_ET,281
ERR_CD_FMB,282
ERR_CD_FMP,283
ERR_CD_FP,284
ERR_CD_FT1,285
ERR_CD_G17,286
ERR_CD_G24,287
ERR_CD_G31,288
ERR_CD_G43,289
ERR_CD_G46,290
ERR_CD_G62,291
ERR_CD_GHT,292
ERR_CD_GP0,293
ERR_CD_GP1,294
ERR_CD_GPM,295
ERR_CD_GPR,296
ERR_CD_GU1,297
ERR_CD_GU4,298
ERR_CD_GW1,299
ERR_CD_HBP,300
ERR_CD_HCB,301
ERR_CD_HCC,302
ERR_CD_HCD,303
ERR_CD_HCE,304
ERR_CD_HCF,305
ERR_CD_HCG,306
ERR_CD_HCH,307
ERR_CD_HCI,308
ERR_CD_HCJ,309
ERR_CD_HCK,310
ERR_CD_HCL,311
ERR_CD_HCM,312
ERR_CD_HCN,313
ERR_CD_HCO,314
ERR_CD_HCP,315
ERR_CD_HDC,316
ERR_CD_HIT,317
ERR_CD_HP,318
ERR_CD_HP1,319
ERR_CD_HPC,320
ERR_CD_HPD,321
ERR_CD_HRE,322
ERR_CD_HS1,323
ERR_CD_HST,324
ERR_CD_I5,325
ERR_CD_IA1,326
ERR_CD_IAF,327
ERR_CD_IBL,328
ERR_CD_IDR,329
ERR_CD_IEP,330
ERR_CD_IHT,331
ERR_CD_IHX,332
ERR_CD_IMH,333
ERR_CD_INN,334
ERR_CD_INT,335
ERR_CD_IPP,336
ERR_CD_ISD,337
ERR_CD_IT8,338
ERR_CD_IZP,339
ERR_CD_J08,340
ERR_CD_J34,341
ERR_CD_J38,342
ERR_CD_J39,343
ERR_CD_JA4,344
ERR_CD_JM,345
ERR_CD_LBF,346
ERR_CD_LIC,347
ERR_CD_LNM,348
ERR_CD_LNO,349
ERR_CD_LTC,350
ERR_CD_LUM,351
ERR_CD_MAN,352
ERR_CD_MC4,353
ERR_CD_MCO,354
ERR_CD_MHC,355
ERR_CD_MIM,356
ERR_CD_MJ,357
ERR_CD_ML,358
ERR_CD_MMC,359
ERR_CD_MMM,360
ERR_CD_MMS,361
ERR_CD_MN,362
ERR_CD_MNC,363
ERR_CD_MNP,364
ERR_CD_MO,365
ERR_CD_MOD,366
ERR_CD_MP,367
ERR_CD_MR,368
ERR_CD_MT,369
ERR_CD_MTI,370
ERR_CD_MU,371
ERR_CD_MXK,372
ERR_CD_N39,373
ERR_CD_NAR,374
ERR_CD_NAT,375
ERR_CD_NBP,376
ERR_CD_NCN,377
ERR_CD_NIP,378
ERR_CD_NLI,379
ERR_CD_NM,380
ERR_CD_NP,381
ERR_CD_NPP,382
ERR_CD_NPR,383
ERR_CD_NRJ,384
ERR_CD_NX1,385
ERR_CD_NX7,386
ERR_CD_NYM,387
ERR_CD_OC1,388
ERR_CD_OC2,389
ERR_CD_OCP,390
ERR_CD_ONF,391
ERR_CD_ONS,392
ERR_CD_ORP,393
ERR_CD_P30,394
ERR_CD_PA,395
ERR_CD_PAJ,396
ERR_CD_PAM,397
ERR_CD_PAV,398
ERR_CD_PC,399
ERR_CD_PCD,400
ERR_CD_PCN,401
ERR_CD_PDB,402
ERR_CD_PDS,403
ERR_CD_PE6,404
ERR_CD_PHL,405
ERR_CD_PLM,406
ERR_CD_PMB,407
ERR_CD_PMM,408
ERR_CD_PNE,409
ERR_CD_PNG,410
ERR_CD_PR,411
ERR_CD_PSC,412
ERR_CD_PTF,413
ERR_CD_PVE,414
ERR_CD_PVL,415
ERR_CD_PWK,416
ERR_CD_PWL,417
ERR_CD_PYP,418
ERR_CD_Q0,419
ERR_CD_Q1,420
ERR_CD_Q5,421
ERR_CD_Q7,422
ERR_CD_Q8,423
ERR_CD_QCM,424
ERR_CD_QT0,425
ERR_CD_QT1,426
ERR_CD_QT5,427
ERR_CD_QT7,428
ERR_CD_QT8,429
ERR_CD_RB1,430
ERR_CD_REL,431
ERR_CD_RFB,432
ERR_CD_RLC,433
ERR_CD_RLI,434
ERR_CD_RM,435
ERR_CD_RNB,436
ERR_CD_RNI,437
ERR_CD_RNO,438
ERR_CD_RP2,439
ERR_CD_RS6,440
ERR_CD_RVW,441
ERR_CD_S7,442
ERR_CD_SBS,443
ERR_CD_SCD,444
ERR_CD_SEQ,445
ERR_CD_SG,446
ERR_CD_SH,447
ERR_CD_SI,448
ERR_CD_SL,449
ERR_CD_SM,450
ERR_CD_SPS,451
ERR_CD_ST,452
ERR_CD_SUT,453
ERR_CD_SV,454
ERR_CD_T01,455
ERR_CD_T4B,456
ERR_CD_TBI,457
ERR_CD_TOC,458
ERR_CD_TR1,459
ERR_CD_TR2,460
ERR_CD_TR3,461
ERR_CD_TR4,462
ERR_CD_TR5,463
ERR_CD_TR6,464
ERR_CD_TW,465
ERR_CD_TXO,466
ERR_CD_TXR,467
ERR_CD_UM0,468
ERR_CD_UM1,469
ERR_CD_UM2,470
ERR_CD_UM5,471
ERR_CD_UM6,472
ERR_CD_UMG,473
ERR_CD_UMZ,474
ERR_CD_UO,475
ERR_CD_UZ,476
ERR_CD_VAU,477
ERR_CD_VCB,478
ERR_CD_VS,479
ERR_CD_WCS,480
ERR_CD_WGP,481
ERR_CD_WY,482
ERR_CD_X4,483
ERR_CD_X8,484
ERR_CD_XD,485
