VAR,col
ERR_CD_CXE,219
ERR_CD_CXG,220
ERR_CD_CXL,221
ERR_CD_CXP,222
ERR_CD_CXT,223
ERR_CD_CXW,224
ERR_CD_CZ,225
ERR_CD_D1,226
ERR_CD_D5,227
ERR_CD_DAT,228
ERR_CD_DC,229
ERR_CD_DF,230
ERR_CD_DI,231
ERR_CD_DIS,232
ERR_CD_DND,233
ERR_CD_DNR,234
ERR_CD_DO,235
ERR_CD_DP,236
ERR_CD_DP1,237
ERR_CD_DP2,238
ERR_CD_DPT,239
ERR_CD_DRK,240
ERR_CD_DRN,241
ERR_CD_ECM,242
ERR_CD_ED1,243
ERR_CD_EF,244
ERR_CD_EI,245
ERR_CD_EMO,246
ERR_CD_EN1,247
ERR_CD_EN4,248
ERR_CD_ER1,249
ERR_CD_ERM,250
ERR_CD_ERS,251
ERR_CD_ESB,252
ERR_CD_ESM,253
ERR_CD_ESR,254
ERR_CD_EST,255
ERR_CD_ET,256
ERR_CD_FMP,257
ERR_CD_FP,258
ERR_CD_FS,259
ERR_CD_FT1,260
ERR_CD_G17,261
ERR_CD_G24,262
ERR_CD_G31,263
ERR_CD_G43,264
ERR_CD_G46,265
ERR_CD_GBP,266
ERR_CD_GHT,267
ERR_CD_GP0,268
ERR_CD_GP1,269
ERR_CD_GPM,270
ERR_CD_GPR,271
ERR_CD_GU1,272
ERR_CD_GU4,273
ERR_CD_GW1,274
ERR_CD_HBP,275
ERR_CD_HCB,276
ERR_CD_HCC,277
ERR_CD_HCD,278
ERR_CD_HCE,279
ERR_CD_HCF,280
ERR_CD_HCG,281
ERR_CD_HCH,282
ERR_CD_HCI,283
ERR_CD_HCJ,284
ERR_CD_HCK,285
ERR_CD_HCL,286
ERR_CD_HCM,287
ERR_CD_HCN,288
ERR_CD_HCO,289
ERR_CD_HCP,290
ERR_CD_HDC,291
ERR_CD_HIB,292
ERR_CD_HIT,293
ERR_CD_HP,294
ERR_CD_HP1,295
ERR_CD_HPC,296
ERR_CD_HPD,297
ERR_CD_HRE,298
ERR_CD_HS1,299
ERR_CD_HST,300
ERR_CD_I5,301
ERR_CD_IA1,302
ERR_CD_IAF,303
ERR_CD_IBL,304
ERR_CD_IEP,305
ERR_CD_IHT,306
ERR_CD_IMH,307
ERR_CD_INN,308
ERR_CD_INT,309
ERR_CD_IPP,310
ERR_CD_ISD,311
ERR_CD_IT8,312
ERR_CD_IZP,313
ERR_CD_J08,314
ERR_CD_J38,315
ERR_CD_J39,316
ERR_CD_JA0,317
ERR_CD_JA4,318
ERR_CD_JM,319
ERR_CD_LIC,320
ERR_CD_LNM,321
ERR_CD_LNO,322
ERR_CD_LTC,323
ERR_CD_LUM,324
ERR_CD_MAN,325
ERR_CD_MAO,326
ERR_CD_MC4,327
ERR_CD_MCO,328
ERR_CD_MHC,329
ERR_CD_MIM,330
ERR_CD_MJ,331
ERR_CD_ML,332
ERR_CD_MMC,333
ERR_CD_MMM,334
ERR_CD_MMS,335
ERR_CD_MN,336
ERR_CD_MNC,337
ERR_CD_MNP,338
ERR_CD_MO,339
ERR_CD_MOD,340
ERR_CD_MR,341
ERR_CD_MT,342
ERR_CD_MTI,343
ERR_CD_MU,344
ERR_CD_MXK,345
ERR_CD_N39,346
ERR_CD_NAT,347
ERR_CD_NBP,348
ERR_CD_NCN,349
ERR_CD_NIP,350
ERR_CD_NLI,351
ERR_CD_NM,352
ERR_CD_NP,353
ERR_CD_NPP,354
ERR_CD_NPR,355
ERR_CD_NRJ,356
ERR_CD_NX1,357
ERR_CD_NX7,358
ERR_CD_OC1,359
ERR_CD_OC2,360
ERR_CD_OCP,361
ERR_CD_ONF,362
ERR_CD_ONS,363
ERR_CD_ORP,364
ERR_CD_P30,365
ERR_CD_PA,366
ERR_CD_PAJ,367
ERR_CD_PAM,368
ERR_CD_PAV,369
ERR_CD_PC,370
ERR_CD_PCD,371
ERR_CD_PCN,372
ERR_CD_PDB,373
ERR_CD_PDS,374
ERR_CD_PE6,375
ERR_CD_PHL,376
ERR_CD_PLM,377
ERR_CD_PMB,378
ERR_CD_PMM,379
ERR_CD_PR,380
ERR_CD_PSC,381
ERR_CD_PSH,382
ERR_CD_PTF,383
ERR_CD_PVE,384
ERR_CD_PVL,385
ERR_CD_PWK,386
ERR_CD_PWL,387
ERR_CD_PYP,388
ERR_CD_Q0,389
ERR_CD_Q1,390
ERR_CD_Q5,391
ERR_CD_Q7,392
ERR_CD_Q8,393
ERR_CD_QCM,394
ERR_CD_QT0,395
ERR_CD_QT1,396
ERR_CD_QT5,397
ERR_CD_QT7,398
ERR_CD_QT8,399
ERR_CD_RB1,400
ERR_CD_RB2,401
ERR_CD_REL,402
ERR_CD_RFB,403
ERR_CD_RLC,404
ERR_CD_RLI,405
ERR_CD_RM,406
ERR_CD_RNB,407
ERR_CD_RNI,408
ERR_CD_RNM,409
ERR_CD_RNO,410
ERR_CD_RP2,411
ERR_CD_RS6,412
