VAR,col
ERR_CD_CT,225
ERR_CD_CUX,226
ERR_CD_CVO,227
ERR_CD_CXD,228
ERR_CD_CXE,229
ERR_CD_CXG,230
ERR_CD_CXP,231
ERR_CD_CXT,232
ERR_CD_CXW,233
ERR_CD_CZ,234
ERR_CD_D1,235
ERR_CD_D5,236
ERR_CD_DC,237
ERR_CD_DF,238
ERR_CD_DI,239
ERR_CD_DIS,240
ERR_CD_DMM,241
ERR_CD_DND,242
ERR_CD_DNR,243
ERR_CD_DO,244
ERR_CD_DP1,245
ERR_CD_DP2,246
ERR_CD_DPT,247
ERR_CD_DRK,248
ERR_CD_DRN,249
ERR_CD_DX,250
ERR_CD_E8,251
ERR_CD_E9,252
ERR_CD_ECM,253
ERR_CD_ED1,254
ERR_CD_EI,255
ERR_CD_EMO,256
ERR_CD_ER1,257
ERR_CD_ERM,258
ERR_CD_ERS,259
ERR_CD_ESB,260
ERR_CD_ESM,261
ERR_CD_ESR,262
ERR_CD_EST,263
ERR_CD_ET,264
ERR_CD_FMP,265
ERR_CD_FP,266
ERR_CD_FT1,267
ERR_CD_FT2,268
ERR_CD_G13,269
ERR_CD_G17,270
ERR_CD_G24,271
ERR_CD_G31,272
ERR_CD_G43,273
ERR_CD_GHT,274
ERR_CD_GP0,275
ERR_CD_GP1,276
ERR_CD_GPM,277
ERR_CD_GPR,278
ERR_CD_GRC,279
ERR_CD_GSH,280
ERR_CD_GU1,281
ERR_CD_GW1,282
ERR_CD_HBP,283
ERR_CD_HCB,284
ERR_CD_HCC,285
ERR_CD_HCD,286
ERR_CD_HCE,287
ERR_CD_HCF,288
ERR_CD_HCH,289
ERR_CD_HCJ,290
ERR_CD_HCK,291
ERR_CD_HCL,292
ERR_CD_HCM,293
ERR_CD_HCN,294
ERR_CD_HCO,295
ERR_CD_HCP,296
ERR_CD_HDC,297
ERR_CD_HIT,298
ERR_CD_HP,299
ERR_CD_HP1,300
ERR_CD_HPD,301
ERR_CD_HPF,302
ERR_CD_HST,303
ERR_CD_IA1,304
ERR_CD_IAF,305
ERR_CD_IBL,306
ERR_CD_IEP,307
ERR_CD_IHT,308
ERR_CD_INT,309
ERR_CD_IPP,310
ERR_CD_IPS,311
ERR_CD_IT8,312
ERR_CD_IZP,313
ERR_CD_J08,314
ERR_CD_J34,315
ERR_CD_J38,316
ERR_CD_J39,317
ERR_CD_JA0,318
ERR_CD_JA4,319
ERR_CD_JCB,320
ERR_CD_JH,321
ERR_CD_JM,322
ERR_CD_LCN,323
ERR_CD_LCP,324
ERR_CD_LIC,325
ERR_CD_LNM,326
ERR_CD_LNO,327
ERR_CD_LRC,328
ERR_CD_LUM,329
ERR_CD_M2P,330
ERR_CD_MAN,331
ERR_CD_MC4,332
ERR_CD_MCO,333
ERR_CD_MDX,334
ERR_CD_MHC,335
ERR_CD_MI,336
ERR_CD_MIM,337
ERR_CD_MJ,338
ERR_CD_ML,339
ERR_CD_MMC,340
ERR_CD_MMM,341
ERR_CD_MMS,342
ERR_CD_MN,343
ERR_CD_MNP,344
ERR_CD_MO,345
ERR_CD_MOD,346
ERR_CD_MP,347
ERR_CD_MR,348
ERR_CD_MT,349
ERR_CD_MTF,350
ERR_CD_MTI,351
ERR_CD_MU,352
ERR_CD_N39,353
ERR_CD_NAT,354
ERR_CD_NBB,355
ERR_CD_NBC,356
ERR_CD_NBN,357
ERR_CD_NBP,358
ERR_CD_NCN,359
ERR_CD_ND9,360
ERR_CD_NIP,361
ERR_CD_NM,362
ERR_CD_NP,363
ERR_CD_NPR,364
ERR_CD_NRJ,365
ERR_CD_NX1,366
ERR_CD_NX7,367
ERR_CD_OC1,368
ERR_CD_OC2,369
ERR_CD_OCP,370
ERR_CD_ONF,371
ERR_CD_ORP,372
ERR_CD_P30,373
ERR_CD_PA,374
ERR_CD_PAJ,375
ERR_CD_PAM,376
ERR_CD_PAV,377
ERR_CD_PC,378
ERR_CD_PCD,379
ERR_CD_PCN,380
ERR_CD_PDB,381
ERR_CD_PDS,382
ERR_CD_PE6,383
ERR_CD_PHL,384
ERR_CD_PLM,385
ERR_CD_PLS,386
ERR_CD_PMB,387
ERR_CD_PR,388
ERR_CD_PSC,389
ERR_CD_PSH,390
ERR_CD_PTF,391
ERR_CD_PVL,392
ERR_CD_PWK,393
ERR_CD_PWL,394
ERR_CD_PYP,395
ERR_CD_Q0,396
ERR_CD_Q1,397
ERR_CD_Q5,398
ERR_CD_Q7,399
ERR_CD_Q8,400
ERR_CD_QCM,401
ERR_CD_QT0,402
ERR_CD_QT1,403
ERR_CD_QT5,404
ERR_CD_QT7,405
ERR_CD_QT8,406
ERR_CD_QZ,407
ERR_CD_RAE,408
ERR_CD_RB1,409
ERR_CD_RB2,410
ERR_CD_REL,411
ERR_CD_RFB,412
ERR_CD_RLC,413
ERR_CD_RLI,414
ERR_CD_RM,415
ERR_CD_RNB,416
ERR_CD_RNI,417
ERR_CD_RNM,418
ERR_CD_RNO,419
ERR_CD_RP2,420
ERR_CD_RS6,421
ERR_CD_RVW,422
ERR_CD_S7,423
ERR_CD_SBS,424
ERR_CD_SCD,425
ERR_CD_SEQ,426
ERR_CD_SG,427
