FULL_MNGMNT_BU_CD,MBU_rollup,state_lob
KSZZ16TXPRN,Specialty - Unicare,Unicare
KSZZ16TXPRY,Specialty - Unicare,Unicare
KSZZ16ZXPR,Specialty - Unicare,Unicare
KSZZ16ZXPRN,Specialty - Unicare,Unicare
KSZZ16ZXPRY,Specialty - Unicare,Unicare
KSZZ173XPB02M,Unicare - Unicare,Unicare
KSZZ173XPB03S,Unicare - Unicare,Unicare
KSZZ173XPB03Y,Unicare - Unicare,Unicare
KSZZ173XPB05N,Unicare - Unicare,Unicare
KSZZ173XPR04M,Unicare - Unicare,Unicare
KSZZ173XPR05S,Unicare - Unicare,Unicare
KSZZ173XPR05Y,Unicare - Unicare,Unicare
KSZZ1A1XOF04S,Unicare - Unicare,Unicare
KSZZ1A1XOF04Y,Unicare - Unicare,Unicare
KSZZ1A1XPB03N,Unicare - Unicare,Unicare
KSZZ1A1XPB05S,Unicare - Unicare,Unicare
KSZZ1A1XPB05Y,Unicare - Unicare,Unicare
KSZZ1JFXPR,Unicare - Unicare,Unicare
KSZZ1JFXPRN,Unicare - Unicare,Unicare
KSZZ1JFXPRY,Unicare - Unicare,Unicare
KSZZ1KZXPR,Specialty - Unicare,Unicare
KSZZ1KZXPRN,Specialty - Unicare,Unicare
KSZZ1KZXPRY,Specialty - Unicare,Unicare
KSZZ1N1XOF04S,Unicare - Unicare,Unicare
KSZZ1N1XOF04Y,Unicare - Unicare,Unicare
KSZZ1N1XPB03N,Unicare - Unicare,Unicare
KSZZ1N1XPB05S,Unicare - Unicare,Unicare
KSZZ1N1XPB05Y,Unicare - Unicare,Unicare
KSZZ1N1XPR,Unicare - Unicare,Unicare
KSZZ1N1XPRN,Unicare - Unicare,Unicare
KSZZ1N1XPRY,Unicare - Unicare,Unicare
KSZZ1NZXOF04S,Unicare - Unicare,Unicare
KSZZ1NZXOF04Y,Unicare - Unicare,Unicare
KSZZ1NZXPB03N,Unicare - Unicare,Unicare
KSZZ1NZXPB05S,Unicare - Unicare,Unicare
KSZZ1NZXPB05Y,Unicare - Unicare,Unicare
KSZZ1NZXPR,Unicare - Unicare,Unicare
KSZZ1NZXPRN,Unicare - Unicare,Unicare
KSZZ1NZXPRY,Unicare - Unicare,Unicare
KSZZ1O1XOF04S,Unicare - Unicare,Unicare
KSZZ1O1XOF04Y,Unicare - Unicare,Unicare
KSZZ1O1XPB02N,Unicare - Unicare,Unicare
KSZZ1O1XPB04S,Unicare - Unicare,Unicare
KSZZ1O1XPB04Y,Unicare - Unicare,Unicare
KSZZ1O1XPB05N,Unicare - Unicare,Unicare
KSZZ1O1XPR01S,Unicare - Unicare,Unicare
KSZZ1O1XPR01Y,Unicare - Unicare,Unicare
KSZZ1O1XPR05M,Unicare - Unicare,Unicare
KSZZ1O3XPR03N,Unicare - Unicare,Unicare
KSZZ1O3XPR04S,Unicare - Unicare,Unicare
KSZZ1O3XPR04Y,Unicare - Unicare,Unicare
KSZZ1O4XOF02N,Unicare - Unicare,Unicare
KSZZ1O4XOF03N,Unicare - Unicare,Unicare
KSZZ1O4XOF04M,Unicare - Unicare,Unicare
KSZZ1O4XPB02N,Unicare - Unicare,Unicare
J2ZU35FXPR04M,Unicare - Unicare,Unicare
J2ZU3O1X,Unicare - Unicare,Unicare
J2ZU3O1XOF,Unicare - Unicare,Unicare
J2ZU3O1XOF01M,Unicare - Unicare,Unicare
J2ZU3O1XOFN,Unicare - Unicare,Unicare
J2ZU3O1XOFY,Unicare - Unicare,Unicare
J2ZU3O1XPB02N,Unicare - Unicare,Unicare
J2ZU3O1XPB05M,Unicare - Unicare,Unicare
J2ZU3O1XPR02N,Unicare - Unicare,Unicare
J2ZU3O3XOF02N,Unicare - Unicare,Unicare
J2ZU3O3XOF03S,Unicare - Unicare,Unicare
J2ZU3O3XOF03Y,Unicare - Unicare,Unicare
J2ZU3O3XOF04N,Unicare - Unicare,Unicare
J2ZU3O3XOF05M,Unicare - Unicare,Unicare
J2ZU3O3XPB01S,Unicare - Unicare,Unicare
J2ZU3O3XPB01Y,Unicare - Unicare,Unicare
J2ZU3O3XPB03S,Unicare - Unicare,Unicare
J2ZU3O3XPB03Y,Unicare - Unicare,Unicare
J2ZU3O3XPB05N,Unicare - Unicare,Unicare
J2ZU3O3XPR03M,Unicare - Unicare,Unicare
J2ZU3O7XOF02N,Unicare - Unicare,Unicare
J2ZU3O7XOF03S,Unicare - Unicare,Unicare
J2ZU3O7XOF03Y,Unicare - Unicare,Unicare
J2ZU3O7XOF04N,Unicare - Unicare,Unicare
J2ZU3O7XOF05M,Unicare - Unicare,Unicare
J2ZU3O7XPB01S,Unicare - Unicare,Unicare
J2ZU3O7XPB01Y,Unicare - Unicare,Unicare
J2ZU3O7XPB03S,Unicare - Unicare,Unicare
J2ZU3O7XPB03Y,Unicare - Unicare,Unicare
J2ZU3O7XPB05N,Unicare - Unicare,Unicare
J2ZU3O7XPR03M,Unicare - Unicare,Unicare
J2ZU3S3XPR,Unicare - Unicare,Unicare
J2ZU3S3XPRN,Unicare - Unicare,Unicare
J2ZU3S3XPRY,Unicare - Unicare,Unicare
J2ZU411XOF02N,Unicare - Unicare,Unicare
J2ZU411XPR01S,Unicare - Unicare,Unicare
J2ZU411XPR01Y,Unicare - Unicare,Unicare
J2ZU411XPR02M,Unicare - Unicare,Unicare
J2ZU411XPR02S,Unicare - Unicare,Unicare
J2ZU411XPR02Y,Unicare - Unicare,Unicare
J2ZU413XOF02M,Unicare - Unicare,Unicare
J2ZZ151XPR05M,Unicare - Unicare,Unicare
J2ZZ153X,Unicare - Unicare,Unicare
J2ZZ153XOF,Unicare - Unicare,Unicare
J2ZZ153XOF02M,Unicare - Unicare,Unicare
J2ZZ153XOF03M,Unicare - Unicare,Unicare
J2ZZ153XOF04M,Unicare - Unicare,Unicare
J2ZZ153XOFN,Unicare - Unicare,Unicare
