KEY_CHK_DCN_NBR,CURNT_QUE_UNIT_NBR,actioncode,actionscore
19159BH4263,2V,51530,0.15705924
19089BP9222,2V,12390,0.00026360125
19143CG6716,2V,51530,0.0005784916
19151GA1810,2V,12390,0.0004820316
19155CA0807,2V,50110,0.00057756715
19116BN5168,2V,21410,0.0009891047
19116BN5169,2V,21410,0.0008669135
19149BW2745,2V,MCJ00,0.00013097208
19150BQ7749,2V,12390,0.00029441938
19150BS7961,2V,M9999,0.0004876486
19043GA5630,2V,12390,0.00018404516
19047GB5624,2V,9COB0,0.00089926826
19056GA4086,2V,21640,0.021237057
19059CO8311,2V,M9999,0.20523837
19081CQ6706,2V,21640,0.18586954
19084731304,2V,50110,0.00029060713
19089BQ6046,2V,12390,0.00038178804
19092CS2949,2V,12390,0.0017132406
19093CU3522,2V,51530,0.0013103542
19093DF3821,2V,12390,0.00018116123
19094BS4042,2V,51530,0.00018130154
19094DB9927,2V,51530,0.0005084889
19098CV7139,2V,M9999,0.23090631
19098DG0725,2V,51530,0.0004691471
19099BU6597,2V,51530,0.0008442927
19099GA8814,2V,12390,0.00017948741
19100BK0482,2V,21640,0.2602877
19100CY2493,2V,51530,0.0016307366
19100DN8291,2V,LABX0,0.00019832618
19100DN8293,2V,51530,0.00044573116
19100DO5918,2V,51530,0.003297015
19100GA6089,2V,M9999,0.00019587537
19100GA6090,2V,51530,0.00031218308
19101DB9687,2V,12390,0.0014327952
19102R10021,2V,M9999,0.00015067901
19105BD2063,2V,12390,0.00057314226
19105CE7394,2V,21640,0.14866847
19106CP3884,2V,12390,0.0022460406
19107CM3207,2V,50110,0.007912616
19107DD2250,2V,51530,0.0002523741
19108CR2464,2V,M9999,0.04168177
19109CK9544,2V,MCJ00,0.00024092065
19113BV5383,2V,51530,0.2005938
19113CK5970,2V,12390,0.0003471851
19113DA5077,2V,51530,0.0017543897
19113DG8605,2V,51530,0.00033728464
19113DG8607,2V,51530,0.00033728464
19114CO8156,2V,12390,0.0014847309
19114CT1924,2V,LABX0,0.5364229
19114CT7331,2V,LABX0,0.38565746
19115CS1092,2V,51530,0.0049116174
19115CX7319,2V,51530,0.001999492
19116CL0906,2V,12390,0.00043342385
19116CP7144,2V,51530,0.000615917
19116CT1465,2V,M9999,0.0046191015
19119CN3496,2V,M9999,0.003458378
19119CV1635,2V,50110,0.00065518037
19119CW1848,2V,LABX0,0.4321496
19120BK5865,2V,LABX0,0.00020606536
19122CW6762,2V,51530,0.003383238
19123CB2059,2V,9COB0,0.00044015897
19126CC6233,2V,51530,0.00077021465
19126DH4639,2V,12390,0.00014631488
19126R11026,2V,M9999,0.0015184301
19127CQ2964,2V,01030,0.00049970887
19127DB6442,2V,M9999,0.0027967044
19128BL6748,2V,51530,0.00084072707
19128CF7424,2V,51530,0.0002512747
19128CI9336,2V,51530,0.0006485444
19128CL9781,2V,M9999,0.0025140282
19128CM0126,2V,51530,0.0017507758
19128CQ0874,2V,51530,0.004121574
19128CY6309,2V,50110,0.0008139361
19129CK2545,2V,12390,0.002227955
19129CL2481,2V,51530,0.02512893
19129CL6439,2V,51530,0.00032086123
19129CM9046,2V,MCJ00,0.0014506778
19130BH9176,2V,51530,0.00085763785
19130CD1368,2V,M9999,0.16103445
19133CK6303,2V,51530,0.0005733056
19134BS8426,2V,51530,0.007416537
19134GA0443,2V,M9999,0.0014021811
19135BE3977,2V,21640,0.2602877
19135BT9380,2V,51530,0.001144202
19136CI9854,2V,MCJ00,0.00028115427
19136R10828,2V,51530,0.00023920949
19137BG1292,2V,LABX0,0.00020606536
19140BN2429,2V,9COB0,0.0004239894
19140BW9334,2V,M9999,0.0054901987
19140CE5871,2V,51530,0.0005308929
19140CE6569,2V,51530,0.00095900794
19140CI1543,2V,50110,0.003166393
19140CL1768,2V,51530,0.00087875716
19140CL2303,2V,51530,0.007504353
19140CL6347,2V,12390,0.00026326368
19140CN0693,2V,51530,0.005762374
19140R11404,2V,MCJ00,0.016045408
19141BH6506,2V,M9999,0.00021801911
19141BO6719,2V,50110,0.008209965
19141CG6998,2V,51530,0.00090801937
19142CB4434,2V,51530,0.001806055
19142CN8591,2V,51530,0.0010132934
19143BA1930,2V,12390,0.00018117263
19143BA2367,2V,LABX0,0.0001733133
19143BA2593,2V,12390,0.0001815986
19143BR0996,2V,M9999,0.00037776775
19143BV2625,2V,50110,0.0019585358
19143CA1705,2V,51530,0.0036520895
19143CC5651,2V,MCJ00,0.0003118487
19144BD0487,2V,12390,0.00012720062
19144BE9300,2V,M9999,0.00032827051
19144CA7354,2V,50110,0.00058764376
19145BE2550,2V,M9999,0.0005293379
19145GA1794,2V,21640,0.021561846
19148CC2803,2V,01030,0.00091669493
19149BZ1613,2V,LABX0,0.66085315
19149BZ2836,2V,51530,0.0005063868
19150BV9413,2V,51530,0.01207573
19150CH0246,2V,51530,0.0020412935
19150CH4157,2V,51530,0.000849202
19151BF5024,2V,51530,0.00076229754
19151BF5030,2V,51530,0.00073260523
19151BG9325,2V,9COB0,0.00042016146
19151BG9931,2V,9COB0,0.00041582424
19151CE4126,2V,51530,0.008014173
19151CH7079,2V,12390,9.946467e-05
19151CH7426,2V,12390,9.946467e-05
19152BF7410,2V,51530,0.003426131
19154BW5930,2V,51530,0.0009871799
19154CM4481,2V,51530,0.00033758752
19155BL9877,2V,50110,0.00034250235
19155BW5542,2V,51530,0.009676419
19155BW6132,2V,LABX0,0.00020811631
19155CH8785,2V,51530,0.009719192
19156BA8181,2V,12390,0.00015923043
19156BC2755,2V,M9999,0.00077275175
19156BC7019,2V,51530,0.0058455253
19156BH0608,2V,LABX0,0.00056711514
19156BH0919,2V,M9999,0.002907263
19156CC4655,2V,50110,0.0002858208
19157BG2280,2V,M9999,0.011381801
19157BI0859,2V,50110,0.0020301503
19157BQ1018,2V,51530,0.00095900794
19157BY3913,2V,12390,0.00013045955
19159BB2824,2V,51530,0.00073913677
19115BL8940,2V,12390,0.00012440518
19115CY3935,2V,12390,0.0002681756
19124BM1822,2V,12390,0.00025096466
19128CM4617,2V,M9999,0.022147497
19128JA1508,2V,12390,0.00018622274
19133BG0226,2V,12390,0.00011137554
19136CF7244,2V,12390,0.0002904296
19137BU1586,2V,M9999,0.00029483988
19137CE6343,2V,M9999,0.0004739404
19140BW5426,2V,9COB0,0.00025511635
19140BW5607,2V,M9999,0.00022924712
19140CV0057,2V,M9999,0.00034526768
19148BW5746,2V,M9999,0.3813982
19148BY5639,2V,12390,0.00014813438
19149BP8034,2V,9COB0,0.00072349905
19149BU8762,2V,M9999,0.002917314
19150BM3802,2V,12390,0.000979034
19150BZ6779,2V,9COB0,0.00088235823
19153BA4615,2V,12390,0.00024589547
19157BT4681,2V,M9999,0.00020511463
19064GB0594,2V,M9999,0.008087033
19071CZ8564,2V,M9999,0.1149416
19072R10588,2V,M9999,0.0077413525
19074CJ4572,2V,21640,0.1831885
19089BO4723,2V,21640,0.056077674
19089BQ6156,2V,12390,0.00027171956
19091CK4335,2V,21640,0.13825718
19094BL7775,2V,51530,0.04451515
19094CH5486,2V,21640,0.14511515
19095CJ3678,2V,M9999,0.09958337
19095CJ4837,2V,M9999,0.040211037
19096BH5265,2V,M9999,0.0005395249
19098BC4378,2V,M9999,0.17516696
19098CV6172,2V,M9999,0.00049738697
19099CS7178,2V,M9999,0.004579697
19099CS9153,2V,M9999,0.0039718905
19099DD5199,2V,LABX0,0.00028823002
19099GA3843,2V,21640,0.013574767
19099GA3844,2V,21640,0.0122116
19100CB0295,2V,21640,0.14710158
19100DI1551,2V,12390,0.0002357165
19100R10017,2V,01030,0.0018064857
19100R10018,2V,51530,0.0002950837
19100R10019,2V,51530,0.00025011212
19100R10020,2V,51530,0.00023897721
19101BQ0180,2V,51530,0.00013517722
19101CV1906,2V,51530,0.0088060675
19101CW7119,2V,51530,0.00022252135
19102CR8950,2V,M9999,0.063084304
19105BD2759,2V,M9999,0.07364756
19105BP3149,2V,12390,0.00014057204
19105CR8153,2V,M9999,0.05762969
19105CU9956,2V,M9999,0.45601568
19106BF9122,2V,9COB0,0.0005451873
19106BR1703,2V,12390,0.00014496298
19106CW7159,2V,12390,0.0002357165
19107CO2601,2V,M9999,0.012356562
19107CO9455,2V,M9999,0.01738055
19107JA8223,2V,9COB0,0.00081171165
19107JA8721,2V,M9999,0.018959133
19108CM0911,2V,M9999,0.028817544
19108CS9313,2V,51530,0.0006299879
19110BI4005,2V,21640,0.15202302
19110JA4944,2V,12390,0.00036586632
19112CG6079,2V,21640,0.117114104
19112CS3299,2V,21640,0.16883641
19113BM4736,2V,21640,0.124419
19113CK5981,2V,M9999,0.027008243
19113CK6472,2V,M9999,0.0026117992
19113DA8169,2V,51530,0.0033652817
19113DH5354,2V,12390,0.00020140763
19113DO4036,2V,51530,0.001631441
19114CP8304,2V,M9999,0.031600017
19114CZ9965,2V,MCJ00,0.00070659176
19114CZ9988,2V,12390,0.00024698197
19114DA6069,2V,M9999,0.10058035
19115BR7912,2V,M9999,0.33403784
19115CN2546,2V,M9999,0.09171981
19115R10843,2V,12390,0.0017537327
19116BM5475,2V,12390,0.00016131075
19116CE9632,2V,M9999,0.0016321214
19116CT4283,2V,9COB0,0.00045334644
19117BL6750,2V,51530,0.00079492544
19117BM0885,2V,12390,0.0001718353
19117BM0924,2V,M9999,0.00027679157
19117BM0955,2V,M9999,0.00027679157
19117BM0970,2V,M9999,0.008748328
19117BM0974,2V,M9999,0.00083586643
19117BM0976,2V,M9999,0.00027679157
19117BM1011,2V,M9999,0.0012694878
19117BM1029,2V,M9999,0.0004737195
19117BM1032,2V,M9999,0.00027679157
19117BM1058,2V,M9999,0.0012694878
19117BM1067,2V,M9999,0.00027679157
19117BM1086,2V,12390,0.00017341561
19117BM1091,2V,M9999,0.0013011581
19117BM1121,2V,12390,0.0001718353
19117BM1127,2V,12390,0.00017341561
19117BM1161,2V,M9999,0.00027679157
19117BM1163,2V,M9999,0.0014302309
19117BM1168,2V,M9999,0.00027679157
19117BM2406,2V,M9999,0.039596792
19119BC3851,2V,M9999,0.03276586
19119BC4069,2V,M9999,0.0064910953
19119CD6553,2V,12390,0.000243914
19119CM2993,2V,21640,0.08560383
19119CN2977,2V,M9999,0.034137346
19119CN3210,2V,M9999,0.19400436
19119CN6267,2V,M9999,0.054889802
19119CV9775,2V,51530,0.00047210974
19119DA1442,2V,12390,0.002378574
19119R11045,2V,51530,0.0021101395
19120CO7120,2V,12390,0.00021253363
19120CO7922,2V,9COB0,0.00015872579
19120DC1865,2V,9COB0,0.0003853231
19120DH6582,2V,12390,0.00028874297
19121CB7818,2V,21640,0.15472206
19121CO3635,2V,M9999,0.00030508588
19121CP3391,2V,12390,0.00022844895
19121CP3409,2V,12390,0.00010592809
19121CQ1856,2V,12390,0.0086211
19121CX2240,2V,MCJ00,0.00020473207
19121CX2241,2V,MCJ00,0.00016814182
19121CX7894,2V,M9999,0.043352883
19121CX7895,2V,M9999,0.0631077
19122BO4060,2V,12390,0.00012272735
19122BV8542,2V,50110,0.016935542
19122CD4067,2V,12390,0.00028137444
19122CN8497,2V,9COB0,0.00018687357
19122CO2051,2V,M9999,0.0036060985
19122CO2346,2V,M9999,0.009399239
19122CO2436,2V,51530,0.00022692564
19122CO2717,2V,51530,0.00047522562
19122CU5612,2V,9COB0,0.00057448354
19122CU5699,2V,12390,0.0002357165
19122CW3899,2V,M9999,0.00026180487
19122CW3900,2V,M9999,0.00059362553
19122CW6193,2V,12390,0.00030398983
19123BK5380,2V,21640,0.11550481
19123BP6704,2V,12390,0.00013997642
19123BY9743,2V,21640,0.1831885
19123CD3309,2V,12390,0.00011138543
19123CH6685,2V,51530,0.00031536294
19123CH6740,2V,M9999,0.011926615
19123CH6916,2V,M9999,0.025045844
19123CH7573,2V,12390,0.00018349427
19123CH7851,2V,M9999,0.055793013
19123CJ7064,2V,M9999,0.0020056856
19123CK7679,2V,M9999,0.15939076
19123CU9206,2V,LABX0,8.637855e-05
19123CU9209,2V,M9999,0.0001440126
19124BM1397,2V,51530,0.00053139415
19124BM1712,2V,51530,0.005856123
19126BC2560,2V,M9999,0.0014114442
19126BD4585,2V,51530,0.00045205164
19126BD4671,2V,M9999,0.011654636
19126BD4847,2V,51530,0.00084827637
19126BD5416,2V,12390,0.0003675398
19126BD5542,2V,MCJ00,0.00037508496
19126BH5528,2V,21640,0.055584
19126BH6281,2V,12390,0.00013802528
19126BH6743,2V,12390,0.0001392947
19126CA6475,2V,M9999,0.14471596
19126CB7503,2V,21640,0.17833975
19126CB7504,2V,21640,0.14331006
19126CB8311,2V,21640,0.06807221
19126CL8235,2V,M9999,0.047446247
19126CO3592,2V,MCJ00,0.00062862044
19126CO3954,2V,21640,0.04339844
19126CO4028,2V,51530,0.0005179091
19126CO4076,2V,MCJ00,0.00032292254
19126CO4104,2V,51530,0.0002832826
19126CT2160,2V,51530,0.00048326346
19126DC8566,2V,M9999,0.068150364
19126DC8570,2V,M9999,0.024245575
19126DC8577,2V,G2400,0.0014693247
19126R10071,2V,M9999,0.0066707097
19127CI5044,2V,21640,0.14331006
19127CI5045,2V,21640,0.14331006
19127CQ9851,2V,12390,0.0008290747
19127CS1364,2V,51530,0.0005210876
19127CS1968,2V,12390,0.0003737094
19127CS2188,2V,51530,0.0004096516
19127CS2554,2V,M9999,0.0026117992
19127CV1508,2V,M9999,0.001180701
19127CW9622,2V,M9999,0.0003224728
19127CZ6399,2V,M9999,0.00041675998
19127DB6189,2V,12390,0.000393612
19127DB6190,2V,12390,0.0004097754
19127DN8443,2V,M9999,0.00032508047
19127JB8288,2V,12390,0.00024289427
19127R10330,2V,M9999,0.0017884976
19128BN1486,2V,12390,0.00016577997
19128CD3911,2V,12390,0.000393612
19128CF7300,2V,12390,0.0005634621
19128CK5085,2V,51530,0.036959995
19128CM4689,2V,51530,0.0010443158
19128CY3842,2V,12390,0.003581832
19129BM6955,2V,12390,0.00016577997
19129BM7522,2V,12390,0.08613111
19129BM8864,2V,12390,0.0017106745
19129BN7579,2V,12390,0.08380738
19129CC0112,2V,M9999,0.00019325133
19129CF0136,2V,M9999,0.0038201245
19129CK4997,2V,M9999,0.18012853
19129CL2585,2V,50110,0.0011545918
19129CM8593,2V,M9999,0.0003524828
19129CM8679,2V,MCJ00,0.00017965898
19129CM9002,2V,M9999,0.03419818
19129CM9995,2V,M9999,0.18063967
19129CQ1016,2V,M9999,0.32324344
19129CQ1021,2V,M9999,0.26727656
19129CQ1284,2V,M9999,0.04558502
19129CQ2830,2V,M9999,0.2798701
19129CQ2836,2V,M9999,0.08613611
19129CQ2838,2V,M9999,0.32324344
19129CU3111,2V,M9999,0.3147069
19129CX3982,2V,51530,0.00035686858
19130BR9321,2V,12390,0.00028525482
19130CL2750,2V,M9999,0.004313674
19130CL2753,2V,M9999,0.014400869
19130CL7798,2V,M9999,0.011867102
19130CS2290,2V,12390,0.003712059
19131BJ4338,2V,M9999,0.13609445
19131GA1015,2V,12390,0.00024728946
19132BA2190,2V,12390,0.00016935066
19132BA2360,2V,M9999,0.024028929
19132BA2463,2V,51530,0.0004482579
19132BA2634,2V,12390,0.00038984313
19132BB7070,2V,9COB0,0.0011836011
19132BB7158,2V,12390,0.00024602844
19133BE5187,2V,12390,0.0001377141
19133BE7223,2V,12390,0.00012350417
19133BO1345,2V,M9999,0.23007195
19133BS6717,2V,21640,0.14331006
19133BX3540,2V,12390,0.00024791766
19133BX4045,2V,M9999,0.052398596
19133BX5326,2V,51530,0.00064385094
19133BX8104,2V,M9999,0.06180235
19133CE0937,2V,M9999,0.00047954265
19133CM6623,2V,51530,0.0035701648
19133CN3894,2V,12390,0.00012219102
19133R10014,2V,51530,0.00097509124
19134BE7355,2V,12390,0.00014455151
19134BE8907,2V,21640,0.1182195
19134BX8608,2V,M9999,0.03141379
19134BY0127,2V,M9999,0.040976178
19134BY0861,2V,MCJ00,0.00073133124
19134BZ2359,2V,50110,0.0006677369
19134BZ8097,2V,12390,0.000401075
19134BZ9222,2V,12390,0.00041754474
19134CA0038,2V,12390,0.000401075
19134CB8890,2V,51530,0.0012804167
19134CC1919,2V,9COB0,0.00062460423
19134CC1921,2V,M9999,0.00091178156
19134CE3262,2V,51530,0.0006583563
19134CE3299,2V,M9999,0.0008105333
19134CE3551,2V,M9999,0.000385611
19134CN3530,2V,M9999,0.0014902764
19134CN3646,2V,12390,0.0013435085
19134CN3931,2V,12390,0.0013435085
19134CN4007,2V,12390,0.0013435085
19135BX4701,2V,M9999,0.0012335853
19135BX6042,2V,M9999,0.00042177303
19135BX7510,2V,M9999,0.0199545
19135BX7992,2V,M9999,0.018097213
19135BY9904,2V,M9999,0.0012755024
19135CA5547,2V,51530,0.00089125667
19135CF1638,2V,M9999,0.0029563324
19135CF2064,2V,12390,0.00015653977
19135CM4019,2V,M9999,0.0032194348
19136BF4850,2V,9COB0,0.00025394035
19136BX1882,2V,51530,0.0014886857
19136BZ0837,2V,M9999,0.044391427
19136BZ0978,2V,M9999,0.07777222
19136BZ1966,2V,12390,0.0002357165
19136CA1516,2V,M9999,0.30005595
19136GA0271,2V,9COB0,0.00082067424
19136R10709,2V,12390,0.00022419394
19137BQ4445,2V,12390,0.00028769384
19137BR4488,2V,21640,0.14331006
19137BR5164,2V,21640,0.1831885
19137BU1039,2V,M9999,0.013037912
19137BU1125,2V,M9999,0.0010557616
19137GA1188,2V,M9999,0.13848059
19137LM0567,2V,21640,0.16164346
19138BE4031,2V,MCJ00,0.00026172228
19138BE4097,2V,9COB0,0.00032918627
19138GA2200,2V,12390,0.00035189523
19139BB5383,2V,MCJ00,0.00070957845
19140BG1875,2V,12390,0.00026528037
19140BW5376,2V,12390,0.00014661529
19140BZ1299,2V,M9999,0.008384294
19140BZ2434,2V,51530,0.00040734495
19140CA5356,2V,M9999,0.0039167074
19140CD6829,2V,9COB0,0.000769124
19140CI2547,2V,51530,0.0004400692
19140CI7242,2V,50110,0.00026353035
19140CQ8580,2V,51530,0.03488987
19141BA4809,2V,51530,0.00063880865
19141BA4854,2V,M9999,0.0013780311
19141BA4868,2V,M9999,0.0006970665
19141BF1714,2V,51530,0.0043754596
19141BO7035,2V,M9999,0.00016603546
19141BR8284,2V,M9999,0.00069974415
19141BX6708,2V,12390,0.00013870792
19141BX7492,2V,51530,0.0035724335
19141BX7979,2V,M9999,0.0035569798
19141BX8092,2V,M9999,0.0013988161
19141BX9087,2V,M9999,0.0026117992
19141BY5018,2V,9COB0,0.00014091749
19141CE3884,2V,M9999,0.0003265139
19141CE6825,2V,51530,0.001150796
19141CH8662,2V,M9999,0.054397654
19141R10549,2V,9COB0,0.0003634317
19142BF4548,2V,M9999,0.00031339406
19142BX3050,2V,MCJ00,0.0003142246
19142BX3974,2V,12390,0.00020382286
19142BX6844,2V,51530,0.0003145243
19142CF9383,2V,M9999,0.0012021615
19142CH7702,2V,9COB0,0.00012685262
19142CH8217,2V,9COB0,0.00011555173
19143BP8503,2V,21640,0.06807221
19143BR1058,2V,M9999,9.791716e-05
19143BV0734,2V,51530,0.014190991
19143BV1316,2V,21640,0.024939548
19143BV2051,2V,M9999,0.09671264
19143BV7214,2V,M9999,0.0371986
19143CA2341,2V,51530,0.0001421655
19143CC4744,2V,12390,0.00012804018
19143CG6926,2V,51530,0.00071663724
19143CG7018,2V,21640,9.358647e-05
19143CG7143,2V,M9999,0.000111804904
19143CG7199,2V,21640,9.240289e-05
19143CG7358,2V,21640,9.240289e-05
19143CI5232,2V,51530,0.0020801122
19143GA2897,2V,12390,0.00042168298
19143GA3005,2V,12390,0.00035156828
19144BC1462,2V,51530,0.00047903485
19144BE8811,2V,12390,0.00022936298
19144BE8943,2V,50110,0.00016545624
19144BH8369,2V,9COB0,0.00039845688
19144BH8642,2V,9COB0,0.00042083027
19144BL8110,2V,50110,0.0039200187
19144BL8292,2V,51530,0.0028502308
19144BX3896,2V,51530,0.00032519642
19144BX6245,2V,MCJ00,0.00022093936
19144BX6581,2V,M9999,0.010539474
19144BX6611,2V,MCJ00,0.0002965556
19144BX9933,2V,12390,0.00024475218
19144BY0249,2V,51530,0.0006083063
19144BY4362,2V,12390,0.0002357165
19144CA8240,2V,51530,0.00082504994
19144CC7630,2V,12390,0.00022287702
